지역구,지점명,도로명,중앙선침범,신호위반,안전거리미확보,불법유턴,과속,안전운전불이행,교차로위반,보행자보호위반,차로위반,직진우회전방해,기타,합계
강남구,수서역사거리,서울특별시 강남구 수서동 724 로즈데일오피스텔,0,2,5,0,0,6,1,0,1,0,1,16
강남구,양재전화국입구,서울특별시 강남구 도곡1동 207,0,4,2,0,0,11,1,0,0,0,0,18
강남구,신논현역 사거리,서울 강남구 강남대로 470,0,3,2,0,0,5,2,0,1,0,1,14
강남구,을지병원 앞 사거리,서울 강남구 논현동 279,0,3,2,0,0,7,4,0,1,0,0,17
강남구,대치우성아파트 사거리,서울 강남구 영동대로 230,0,7,2,0,0,3,0,0,0,0,0,12
강남구,하나저축은행 강남지점(남쪽),서울 강남구 테헤란로 127,0,4,2,0,0,4,1,0,0,0,0,11
강남구,구역삼세무서,서울 강남구 역삼동 806,0,3,1,0,0,7,1,1,0,0,0,13
강남구,서울대청초등학교 부근(북동),서울 강남구 양재대로55길 28,0,0,1,0,0,2,0,0,0,0,0,3
강남구,선릉역 사거리,서울 강남구 테헤란로 335,0,4,0,0,0,5,3,1,0,0,0,13
강남구,성수대교 남단 사거리,서울 강남구 압구정로 110-2,0,2,0,0,0,5,2,1,1,0,0,11
강남구,삼성제일빌딩 앞 사거리,서울 강남구 테헤란로 309,0,2,2,0,0,6,2,1,0,0,0,13
강남구,영동세브란스(강남세브란스),서울 강남구 언주로 211,1,4,1,0,0,3,0,1,0,0,0,10
강남구,서울세관 사거리,서울 강남구 논현동 279-67,0,4,1,0,0,4,2,0,1,0,0,12
강남구,현대백화점 앞(무역센터점 남서),서울 강남구 테헤란로 517,0,1,0,0,0,10,0,0,0,0,2,13
강남구,역삼역 부근(동쪽),서울 강남구 역삼동 645-5,0,2,1,0,0,4,1,2,3,0,1,14
강남구,신사역 오거리,서울 강남구 논현동 280,0,3,5,0,0,1,2,0,1,0,1,13
강남구,경복아파트 앞 사거리,서울 강남구 언주로 620,0,4,1,0,0,4,1,0,0,0,1,11
강남구,삼성역사거리(4번출구),서울 강남구 대치동 995,0,6,1,0,0,2,1,0,0,0,0,10
강남구,차관아파트 사거리(경기고 남서),서울 강남구 삼성동 111-61,0,3,2,0,0,3,1,0,0,0,1,10
강남구,구룡초교 사거리,서울 강남구 개포동 659,0,1,1,0,0,4,1,1,1,0,1,10
강남구,국민연금빌딩 부근 삼거리(동쪽),서울 강남구 도산대로 128,0,0,4,0,1,1,0,1,1,0,1,9
강남구,일원1동주민센터 앞 삼거리,서울 강남구 양재대로55길 14,1,1,0,0,0,6,0,1,0,0,0,9
강남구,학동사거리,서울 강남구 청담동 77,0,1,1,1,0,7,0,0,0,0,0,10
강남구,우성아파트사거리(역삼초),서울 강남구 역삼동 858-14,0,1,1,0,0,7,0,1,0,0,0,10
강남구,구룡터널사거리,서울 강남구 개포동 647-9,0,0,2,0,0,5,0,0,0,0,0,7
강남구,휘문고교사거리,서울 강남구 대치동 995,0,3,3,0,0,1,0,1,0,0,0,8
강남구,서울특별시 강남구 자곡동 46-8 숯내교 사거리 횡단보도,서울특별시 강남구 자곡동 46-8,0,1,0,0,0,5,0,1,0,0,0,7
강남구,청담사거리,서울 강남구 청담동 77,0,3,0,0,0,2,2,0,0,0,0,7
강남구,한남남단I.C(동쪽),서울 용산구 한남동 399-7,0,3,3,0,0,1,0,0,1,0,0,8
강남구,풍림아이원레몬 부근(남서),서울 강남구 테헤란로64길 13,0,0,0,0,0,8,0,0,0,0,0,8
강동구,천호사거리(천호역 앞),서울 강동구 성내동 62-1,0,6,4,0,0,5,3,4,1,0,0,23
강동구,올림픽공원북2문(체조관),서울 송파구 방이동 88-10,0,8,1,0,1,2,0,0,0,0,0,12
강동구,상일2교사거리(상일초 동쪽),서울특별시 강동구 천호대로219가길 34,0,4,2,0,0,4,1,1,0,0,0,12
강동구,서울천동초 부근 삼거리(서쪽),서울 강동구 성안로 200,0,0,0,0,0,5,0,2,0,0,0,7
강동구,광진교 남단(천호동우체국),서울 강동구 구천면로 188,1,0,1,0,0,6,0,0,0,0,0,8
강동구,천호동성당 사거리(북쪽),서울 강동구 구천면로 236-1,0,0,0,0,0,6,0,0,0,0,2,8
강동구,생태공원앞(탐방객안내소),서울 강동구 길동 산 7-3,0,4,1,0,0,1,0,1,0,0,2,9
강동구,태영아파트 삼거리(105동),서울 강동구 천호대로 1055,0,2,2,0,0,3,0,0,1,0,0,8
강동구,티지아이프라이데이즈,서울 송파구 올림픽로 269,0,0,0,1,0,3,0,0,0,0,0,4
강동구,서하남IC입구(창덕여고),서울 송파구 양재대로 1240,0,1,4,0,0,2,2,0,0,0,0,9
강동구,(암사) 앞 교차로 횡단보도 내,서울 강동구 암사동 548,0,1,2,0,0,1,1,0,0,0,0,5
강동구,둔촌초 앞 사거리,서울 강동구 양재대로88길 27,1,2,0,0,0,2,0,0,0,0,0,5
강동구,직업전문학교(동부기술교육원),서울 강동구 고덕로 183,0,1,0,0,0,5,0,0,0,0,0,6
강동구,천호신사거리(현대백화점천호점),서울 강동구 천호대로 1005,0,1,1,0,0,5,1,0,0,0,1,9
강동구,둔촌동역 앞 삼거리,서울 강동구 양재대로 1355,0,5,0,0,0,1,0,0,0,0,1,7
강동구,서울상일초 삼거리(남서),서울 강동구 상일동 440-3,1,0,2,0,0,2,0,0,0,0,3,8
강동구,천호시장 사거리(남쪽),서울 강동구 구천면로34길 10,0,0,0,0,0,2,0,4,0,0,0,6
강동구,강동성심병원 앞 사거리,서울 강동구 성안로 150,0,2,1,0,0,5,1,0,0,0,0,9
강동구,천호동공원 사거리(북서),서울 강동구 올림픽로 702,0,0,0,0,0,3,1,0,0,0,0,4
강동구,천동초 서쪽 삼거리,서울 강동구 성안로 200,0,3,0,0,0,2,0,1,0,0,0,6
강동구,강동성심병원 앞 사거리,서울 강동구 성안로 150,0,3,0,0,0,3,0,1,0,0,0,7
강동구,태영아파트 삼거리(105동),서울 강동구 천호대로 1055,0,0,2,0,0,2,0,0,0,0,2,6
강동구,이마트사거리(명일점 북쪽),서울 강동구 고덕로 276,0,1,1,0,0,3,0,0,0,0,0,5
강동구,암사역 삼거리(2번출구),서울 강동구 암사동 540,0,1,0,0,0,3,1,1,0,0,0,6
강동구,천호중 사거리(동쪽),서울 강동구 상암로 153,0,0,0,0,0,5,0,1,0,0,0,6
강동구,천호우성아파트 사거리(1동),서울 강동구 구천면로 366,0,0,0,0,0,2,0,1,0,0,0,3
강동구,동방아파트 사거리(북서),서울 양천구 신월로 220,0,0,0,0,0,5,0,1,0,1,0,7
강동구,올림픽대로 잠실방면 광진교 아래,서울 강동구 천호동 484-9,0,0,1,0,0,1,0,0,0,0,0,2
강북구,수유역 사거리(2번출구),서울 강북구 번동 386-16,0,4,3,0,0,12,0,2,0,0,1,22
강북구,강북구청 사거리(동쪽),서울 강북구 도봉로89길 13,1,6,2,0,0,3,2,2,0,0,0,16
강북구,미아사거리(숭곡중 북서),서울 성북구 종암로 208,0,3,5,0,0,6,0,0,0,0,0,14
강북구,삼양입구 사거리(송중초),서울 강북구 오현로 9,0,7,4,0,0,4,0,0,0,1,0,16
강북구,수유사거리(대한병원),서울 강북구 도봉로 301,0,4,1,0,1,4,0,0,0,0,3,13
강북구,천주교번동성당 동쪽 삼거리,서울 강북구 한천로 945,1,4,3,1,0,4,1,0,0,0,0,14
강북구,번2치안센터 남쪽 사거리,서울 강북구 오현로 199,0,1,0,0,0,7,0,0,0,0,0,8
강북구,오패산터널 사거리(요진아파트),서울 강북구 번동 390,2,1,2,0,0,4,1,0,0,0,1,11
강북구,성화의료재단 대한병원(북쪽),서울 강북구 도봉로 301,0,1,3,0,0,7,0,1,0,0,2,14
강북구,삼양시장 오거리(삼양초),서울 강북구 미아동 833-8,1,3,0,0,0,4,1,0,0,2,0,11
강북구,래미안트리베라2차(204동),서울특별시 강북구 삼양로27길 19,0,3,0,0,0,5,2,0,1,0,1,12
강북구,도봉세무서 사거리(북쪽),서울 강북구 도봉로 117,0,1,3,0,0,2,0,0,0,1,1,8
강북구,미아역 사거리(6번출구 서쪽),서울 강북구 미아동 194-1,0,4,0,0,0,4,0,1,0,3,1,13
강북구,경남아너스빌 앞(103동),서울 구로구 구로중앙로8길 41-23,0,1,2,0,0,4,0,0,0,0,1,8
강북구,수유중앙교회 앞 사거리,서울 강북구 덕릉로 63,0,2,0,0,0,6,2,0,0,0,0,10
강북구,수유3동우체국 앞 삼거리,서울 강북구 도봉로 383,0,2,0,0,0,4,0,0,0,0,1,7
강북구,수유3동우체국 앞 삼거리,서울 강북구 도봉로 383,1,2,2,1,0,2,0,0,0,0,0,8
강북구,석관사거리(서울숭곡초),서울 성북구 종암로40길 30,0,0,0,0,0,2,0,0,0,2,0,4
강북구,미아삼거리역 삼거리(2번출구),서울 강북구 미아동 860-68,0,3,1,0,0,8,0,0,0,0,0,12
강북구,개신대학원대학교 앞 사거리,서울 강북구 도봉로 235,2,1,1,0,0,8,0,0,0,0,0,12
강북구,창문여중고 입구 삼거리,서울 강북구 월계로 61,0,1,4,0,0,2,0,0,0,0,0,7
강북구,수유3동주민센터 앞 사거리,서울 강북구 노해로 36,0,1,1,0,0,8,0,0,0,0,1,11
강북구,미아 경남아너스빌(101동),서울 강북구 삼양로74길 8,1,1,0,0,0,4,1,0,0,0,0,7
강북구,삼양입구 사거리(송중초),서울 강북구 오현로 9,0,1,0,0,0,5,0,0,0,1,0,7
강북구,주영광교회 앞 사거리,서울 관악구 호암로 467,0,0,1,0,0,4,0,0,0,0,0,5
강북구,번2치안센터 남쪽 사거리,서울 강북구 오현로 199,0,0,1,0,0,1,0,0,0,0,0,2
강북구,미아동주민센터 앞 삼거리,서울 강북구 솔매로49길 14,0,1,1,0,0,4,0,0,0,0,1,7
강북구,서울사이버대 부근(서쪽),서울 강북구 솔매로49길 60,0,1,0,0,0,3,0,1,0,1,0,6
강북구,송중동주민센터 사거리(북쪽),서울 강북구 오패산로 162,0,0,1,0,0,4,0,1,0,0,0,6
강북구,한신대교차로,서울 강북구 수유동 461-1,0,1,1,0,0,4,0,0,0,0,0,6
강서구,서울양동초 삼거리(서쪽),서울 양천구 오목로23길 24,0,8,1,0,0,3,0,0,0,0,0,12
강서구,마곡역 부근 사거리(1번출구),서울 강서구 마곡동 761-5,0,6,0,0,0,3,0,0,1,0,0,10
강서구,화곡사거리(까치산역 3번출구),서울 강서구 화곡동 343-51,0,0,3,0,0,10,0,0,0,0,1,14
강서구,강서구청입구(경복여고 남동),서울 강서구 등촌동 665-7,0,5,3,0,0,2,0,0,0,0,1,11
강서구,서울신월초 삼거리(북쪽),서울 강서구 화곡동 1089-53,1,0,1,0,0,4,0,0,1,0,1,8
강서구,화곡사거리(까치산역 3번출구),서울 강서구 화곡동 662-6,2,2,0,0,0,11,0,0,0,0,0,15
강서구,양천향교역 앞 사거리,서울 강서구 가양동 150-34,0,1,1,0,0,4,0,1,0,0,0,7
강서구,마곡엠밸리10단지 앞 공항대로 상,서울 강서구 마곡동 730-735,0,5,0,0,0,1,0,0,0,0,0,6
강서구,가양역사거리(5번출구),서울 강서구 가양동 451-1,1,3,1,0,0,4,0,0,0,0,0,9
강서구,발산역 부근 (8번출구 서쪽),서울 강서구 마곡동 808,0,2,0,0,0,2,0,0,0,0,0,4
강서구,화곡역 앞 사거리,서울 강서구 화곡동 1089-54,0,1,1,0,0,8,1,0,0,0,0,11
강서구,강서그랜드아이파크 앞 사거리,서울 강서구 화곡동 1106-3,0,2,1,0,0,4,0,0,0,0,0,7
강서구,김포공항입구 사거리(북동),서울 강서구 방화동 886-15,0,4,1,0,0,6,0,0,0,0,0,11
강서구,가양아파트사거리(601동 서쪽),서울 강서구 가양동 451-6,0,2,0,0,0,3,0,2,0,0,0,7
강서구,개화사거리(서울개화초 남서),서울 강서구 방화동 515-4,0,3,1,0,0,1,0,0,0,0,1,6
강서구,청성아파트 부근 삼거리(남쪽),서울 강서구 방화동 596-1,0,2,0,0,0,2,0,1,0,0,0,5
강서구,양화교 서단 사거리,서울 양천구 목동 560,0,3,0,0,0,3,0,0,1,0,0,7
강서구,화곡4동우체국 부근(서쪽),서울 강서구 곰달래로 265,2,1,1,0,0,2,0,0,0,0,0,6
강서구,신방화사거리(강서공고),서울 강서구 방화동 834-3,0,1,0,0,1,1,0,0,0,0,0,3
강서구,화곡4동우체국 사거리(동쪽),서울 강서구 곰달래로 265,1,0,0,0,0,3,0,1,0,0,0,5
강서구,현대그린아파트 사거리(서쪽),서울 강서구 화곡동 944-14,1,1,0,0,0,6,0,0,0,0,0,8
강서구,신방화사거리(강서공고),서울 강서구 방화동 834-4,1,2,0,0,0,2,0,0,0,0,0,5
강서구,화곡동 111-69번지 삼거리,서울 강서구 화곡동 111-69,0,1,3,0,0,3,0,0,0,0,0,7
강서구,가양3-5단지(가양역1번출구),서울 강서구 가양동 14-26,0,1,1,0,0,3,0,0,0,0,0,5
강서구,강서면허시험장 교차로,서울 강서구 내발산동 754-4,0,3,0,0,0,1,0,0,0,0,0,4
강서구,명덕고교입구 사거리(남동),서울 강서구 내발산동 724-41,0,1,2,0,0,1,0,0,1,0,0,5
강서구,공항고 사거리(남쪽),서울 강서구 마곡동 736-2,0,2,1,0,0,2,0,0,0,0,0,5
강서구,화원중 사거리(북서),서울 강서구 화곡동 662-10,0,4,1,0,0,1,0,0,0,0,0,6
강서구,화곡사거리(까치산역 3번출구),서울 강서구 화곡동 662-6,1,0,0,0,0,2,0,1,0,0,0,4
강서구,마곡동775-3,서울 강서구 마곡동 775-3,0,2,0,0,0,1,0,0,0,0,0,3
관악구,현대시장입구교차로,서울 관악구 봉천동 976-5,0,3,0,0,0,6,0,1,0,0,0,10
관악구,봉림교 서단 교차로,서울 관악구 신림동 1467-14,0,1,1,0,0,7,1,0,3,0,1,14
관악구,구로교 남단 사거리,서울 구로구 구로동 1119,0,1,0,1,0,10,1,0,0,1,3,17
관악구,신림역사거리,서울 관악구 신림동 1642-9,0,2,2,0,0,10,0,3,0,0,1,18
관악구,미림여고입구(신성초 부근),서울 관악구 신림동 289-3,0,5,2,0,0,5,0,0,0,0,1,13
관악구,서울시립미술관 사거리(북서),서울 관악구 남현동 1112,1,3,1,0,0,6,0,0,0,0,1,12
관악구,난곡사거리(국민건강사회공단),서울 관악구 신림동 538,0,5,0,0,0,5,0,0,0,0,1,11
관악구,서울대입구역 사거리,서울 관악구 봉천동 859-9,0,6,1,0,0,4,0,0,0,0,0,11
관악구,서울대입구역 사거리,서울 관악구 봉천동 859-9,0,3,4,0,0,4,2,0,0,0,0,13
관악구,원당초 앞 사거리,서울 관악구 봉천로 505,1,5,2,0,0,5,2,0,0,0,0,15
관악구,봉림교 서단 교차로,서울 관악구 신림동 1467-13,0,1,0,0,0,5,1,1,0,0,0,8
관악구,청암인터그린타워 앞 삼거리,서울 관악구 신림동 1642-9,0,0,0,0,0,6,0,1,0,2,1,10
관악구,난곡우체국 앞 사거리,서울 관악구 신림동 1642-1,0,1,1,1,0,5,0,0,0,0,1,9
관악구,양지병원 앞 삼거리(북쪽),서울 관악구 신림동 1467-5,0,0,4,0,0,3,0,0,0,0,0,7
관악구,동부센트레빌 삼거리(동쪽),서울 관악구 신림동 724-1,0,0,0,0,0,4,0,6,0,0,0,10
관악구,롯데백화점(관악점),서울 관악구 봉천로 209,0,1,0,0,0,7,0,0,0,0,0,8
관악구,서울미술고 삼거리(남서),서울 관악구 남부순환로247길 26,0,0,3,0,0,5,0,0,0,0,0,8
관악구,당곡초 부근 삼거리(남쪽),서울 관악구 보라매로2길 23,0,0,2,0,0,4,2,0,0,0,0,8
관악구,신림동시앤 앞 삼거리,서울특별시 영등포구 대림동 973-17,0,0,1,0,0,2,0,0,0,1,1,5
관악구,우방아파트 삼거리(102동 앞),서울 관악구 관천로27길 2,0,2,0,0,0,2,0,1,1,0,0,6
관악구,은천삼거리(강남고려병원),서울 관악구 봉천동 7-17,0,1,1,0,0,5,0,0,0,0,2,9
관악구,신대방역(1번 출구),서울 관악구 신림동 502,0,3,0,0,0,6,1,0,1,0,1,12
관악구,신림동 706-128번지,서울 관악구 신림동 706-128,0,1,0,0,0,5,1,0,0,0,0,7
관악구,봉현초 앞 사거리,서울 관악구 성현로 117,0,1,1,0,0,2,0,0,1,0,0,5
관악구,신림역사거리,서울 관악구 신림동 1467-10,1,2,3,0,0,2,0,0,0,0,0,8
관악구,신림교 서단 사거리,서울 관악구 신림동 1642-14,0,2,0,0,0,4,1,0,0,0,0,7
관악구,관악구청 앞 삼거리,서울 관악구 봉천동 1693-14,0,1,1,0,0,3,0,0,3,0,0,8
관악구,선경아파트 부근 사거리(북서),서울 관악구 봉천동 981-4,0,1,2,0,0,3,0,0,1,0,0,7
관악구,관악구청 앞 삼거리,서울 관악구 봉천동 1570-1,0,2,0,1,0,3,1,0,0,0,1,8
관악구,롯데타워아파트 앞 삼거리,서울 관악구 봉천동 1693-29,0,3,0,0,0,1,0,0,0,0,0,4
광진구,건대입구역교차로,서울 광진구 화양동 4-9,0,5,2,0,0,6,3,0,2,0,1,19
광진구,혜민병원 남쪽 삼거리,서울 광진구 자양로 95-2,0,1,1,0,0,2,1,0,0,0,0,5
광진구,군자역 사거리(동쪽),서울 광진구 능동 275-5,0,0,1,1,0,4,1,0,0,0,0,7
광진구,군자역 사거리(7번출구),서울 광진구 능동 275-5,1,1,1,1,0,3,0,0,0,0,1,8
광진구,광장극동1차 앞 삼거리(1동),서울 광진구 광장동 236,0,2,1,0,0,3,1,1,0,0,0,8
광진구,송정동서울숲아이파크(103동),서울 성동구 동일로 237,0,0,3,0,0,1,1,0,0,0,0,5
광진구,군자역 사거리,서울 광진구 능동 275-5,0,3,0,0,0,3,1,0,0,0,0,7
광진구,중곡사거리(광진구정신보건센터),서울 광진구 용마산로 55-2,1,1,0,0,0,5,0,0,0,0,0,7
광진구,우편취급소 앞 사거리,서울 광진구 광장로 80,0,3,2,0,0,3,1,0,0,0,0,9
광진구,구의사거리(어린이대공원),서울 광진구 구의동 234-21,0,3,0,0,0,4,0,0,0,0,0,7
광진구,동양파라곤 앞(101동),서울 광진구 군자동 346-42,1,1,1,0,0,2,1,0,0,0,0,6
광진구,이마트 앞 삼거리(자양점),서울 광진구 자양동 227-341,0,4,0,0,0,0,0,0,0,0,0,4
광진구,군자역 사거리(서쪽),서울 광진구 능동 275-5,0,2,0,0,0,2,1,1,0,0,0,6
광진구,광장극동2차 삼거리(15동 북쪽),서울 광진구 광장동 218-1,0,0,0,0,0,3,0,0,0,0,0,3
광진구,성수119안전센터 앞 사거리,서울 성동구 성수동2가 231-24,0,2,0,0,0,4,1,0,0,0,0,7
광진구,역어린이대공원역(4번출구),서울 광진구 능동로 지하 210,0,4,1,0,0,3,1,0,0,0,0,9
광진구,자양동우체국 사거리(서쪽),서울 광진구 자양동 730,0,1,0,0,0,3,0,0,0,0,1,5
광진구,우성2차 앞 사거리(202동),서울 광진구 자양번영로 43-2,1,1,0,0,0,2,0,0,0,0,1,5
광진구,성수사거리(청정아파트),서울 광진구 화양동 50-7,0,3,0,0,0,3,0,0,0,0,0,6
광진구,비츠로빌딩 앞 교차로,서울 광진구 군자동 46-3,0,0,1,0,0,2,0,0,3,0,0,6
광진구,화양사거리,서울 성동구 성수동2가 281-31,0,2,0,0,0,3,0,1,0,0,0,6
광진구,군자동 노상,서울 광진구 중곡동 150-196,1,0,0,0,0,3,0,0,0,0,0,4
광진구,어린이대공원 부근(북동),서울 광진구 능동로 216,0,0,0,0,0,3,1,0,0,0,0,4
광진구,어린이대공원 부근(북동),서울 광진구 능동로 216,0,1,2,0,0,1,0,0,0,0,0,4
광진구,서울화양초 삼거리(남동),서울 광진구 화양동 12-63,0,1,0,0,0,2,0,0,0,0,1,4
광진구,자양동 45-23번지 삼거리,서울 광진구 자양동 45-5,0,0,1,0,0,3,0,0,0,0,0,4
광진구,건국대 생명고학관 앞,서울특별시 광진구 능동로 120,0,1,1,0,0,2,0,2,0,0,0,6
광진구,삼성제약빌딩 앞 삼거리,서울특별시 광진구 중곡동 614-4,0,0,0,0,0,2,0,0,1,0,0,3
광진구,광진구청 사거리(북동),서울 광진구 자양로 125-2,0,0,1,0,0,2,0,0,1,0,0,4
광진구,중곡동,서울 광진구 중곡동 150-329,0,0,0,0,0,2,0,0,0,0,0,2
구로구,디지털단지 오거리(가산파출소),서울 금천구 가산동 127-34,0,6,3,0,0,10,1,0,0,0,0,20
구로구,시티월드 삼거리(서쪽),서울 금천구 가산동 127-34,0,1,3,0,0,7,0,0,0,0,0,11
구로구,거리공원오거리(신구로현대),서울 구로구 구로동 68-1,0,2,2,1,0,3,1,1,0,0,0,10
구로구,대륭포스트타워5차 앞(북쪽),서울특별시 금천구 디지털로9길 68,0,4,1,0,0,6,0,0,0,0,1,12
구로구,디지털단지입구(미성1동 동쪽),서울 관악구 시흥대로 554,0,0,4,0,0,3,0,1,0,0,1,9
구로구,구로소방서교차로(북쪽),서울 구로구 경인로 429-1,0,0,2,1,0,7,0,0,0,0,0,10
